Pitch,Zero Crossing Rate,RMS,Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label,File Name
25.218588,0.1146343008349441,0.18386589,0.036452644,-66.98325,87.77687,9.753586,32.954857,-6.165319,8.536708,-5.2441864,4.6722918,-1.9098384,4.5713634,-0.71692157,3.7568846,-3.209511,Music,music-fma-0000.wav
15.094912,0.0704027180941811,0.306759,0.102127455,-63.092216,129.40472,-7.8545976,28.317198,1.3535242,11.141255,-3.3016577,5.6109776,-6.406745,-0.89542323,-8.937563,0.006230566,-7.2280164,Music,music-fma-0001.wav
13.378338,0.0694686042481407,0.29146534,0.094811335,-87.53552,125.26383,7.472783,18.929047,6.619962,8.893554,-4.84125,0.96928656,-4.945823,2.106114,-5.2984457,0.923437,-2.5725098,Music,music-fma-0002.wav
10.781797,0.0662791044488916,0.2643712,0.07579314,-116.79761,140.29361,10.304111,27.912941,1.9391822,12.758104,-3.1982796,5.33563,-2.0572596,3.069156,-2.1034875,1.7382497,-2.2003741,Music,music-fma-0003.wav
20.289785,0.0737974668325556,0.20708881,0.04925222,-107.99047,99.59443,15.311738,32.2753,4.4915714,15.705595,1.2061298,6.94556,-1.5035743,3.7652493,-3.652332,-0.22266623,-4.562719,Music,music-fma-0004.wav
20.426521,0.1018543634804051,0.22804323,0.06016733,-78.181496,97.34549,8.082734,19.402868,-14.15291,-0.035279203,-12.927295,-0.522872,-6.4052634,7.081386,1.5715673,5.3312817,0.626848,Music,music-fma-0005.wav
26.718157,0.1636922273704474,0.22314689,0.054051816,-24.86164,47.240532,11.014151,34.232727,-6.556095,2.3574114,-6.615178,0.86382663,-12.322152,-0.17920001,-3.969179,-1.7371582,-0.5943236,Music,music-fma-0006.wav
59.235775,0.1982499607478548,0.2924837,0.091153614,33.20665,50.938038,-12.137503,31.154398,-0.33774498,9.994381,0.6351127,6.5876617,-2.9077685,5.0136313,3.8040996,5.463423,-0.02551836,Music,music-fma-0007.wav
52.446327,0.2055660634762197,0.22259203,0.05239156,-0.59658474,48.44469,-9.507451,31.296782,-2.5543032,1.0157255,-4.8449063,-2.1889462,-9.567992,-3.481905,-3.0654953,-4.8251457,-9.091408,Music,music-fma-0008.wav
20.848955,0.1318679168194037,0.23608346,0.05774803,-24.272633,60.61507,10.1259365,51.419327,-2.5817575,11.135784,10.344396,-1.7814981,-9.370326,-5.353846,-7.555938,2.5670052,-7.1393127,Music,music-fma-0009.wav
10.822158,0.094462420896936,0.10032238,0.01253798,-222.1802,108.398674,1.7917422,28.4948,14.350871,4.822298,8.985594,9.0849285,-3.0109687,-2.285848,0.20442374,-2.5173912,-7.054129,Music,music-fma-0010.wav
25.527897,0.1292201149056144,0.17049365,0.031212186,-70.85519,80.7978,6.071387,33.389477,1.2626061,9.566918,-3.452136,0.51923037,0.33289772,2.8220654,1.3318121,4.597687,-1.6979923,Music,music-fma-0011.wav
28.3046,0.1134994788236262,0.1890043,0.041421857,-64.156685,89.90201,-1.9269669,27.483446,2.5373688,-0.56527466,-1.4409527,-1.3425913,-5.475394,-0.48532832,-3.9539998,3.2856915,-5.947549,Music,music-fma-0012.wav
44.345764,0.1292292911039935,0.22256039,0.065497644,-56.556873,86.88808,-14.714959,14.220284,-9.095018,4.83556,-6.2390223,-3.2119853,-2.485176,1.3635633,-6.635364,0.7507165,-4.263154,Music,music-fma-0013.wav
19.246021,0.1032248750408414,0.21018893,0.055814743,-92.4393,80.81002,7.7428308,30.08321,7.7655425,3.4050741,1.1906587,4.900237,-6.140313,0.09926753,-3.6307988,1.703533,-4.891917,Music,music-fma-0014.wav
33.732964,0.1244565918790772,0.15594669,0.03042944,-69.04133,93.99486,-12.516852,16.304766,-5.950275,-0.32233122,-6.9749227,0.1287595,-6.374513,1.5700163,-4.465645,2.3177524,-3.74467,Music,music-fma-0015.wav
39.075153,0.1312462050680052,0.1296375,0.021265537,-115.939316,79.51721,-12.355885,16.207075,5.4635983,9.579302,-5.1305814,1.2762077,0.34408826,-0.9971291,-3.3489563,2.5801334,-3.830295,Music,music-fma-0016.wav
